mirnaid;targets;valtargets
hsa-mir-3972;2287;0
hsa-mir-6867;0;0
hsa-mir-1291;3039;0
hsa-mir-6864;0;0
hsa-mir-6728;0;0
hsa-mir-4428;3435;0
hsa-mir-7845;0;0
hsa-mir-6836;0;0
hsa-mir-2116;3441;0
hsa-mir-6086;0;0
hsa-mir-3136;3320;0
hsa-mir-378e;2062;0
hsa-mir-5010;3722;0
hsa-mir-4731;5790;0
hsa-mir-628;2794;0
hsa-mir-661;4532;6
hsa-mir-1289-2;1556;0
hsa-mir-7846;0;0
hsa-mir-941-1;713;0
hsa-mir-6847;0;0
hsa-mir-548b;4951;0
hsa-mir-3138;1773;0
hsa-mir-566;841;0
hsa-mir-98;2069;22
hsa-mir-3190;5018;0
hsa-mir-4304;407;0
hsa-mir-1181;170;0
hsa-mir-548v;1846;0
hsa-mir-9-1;4405;16
hsa-mir-103a-2;4600;5
hsa-mir-637;3309;0
hsa-mir-3921;3006;0
hsa-mir-1470;859;0
hsa-mir-6858;0;0
hsa-mir-6892;0;0
hsa-mir-762;4036;0
hsa-mir-4700;5094;0
hsa-mir-8064;0;0
hsa-mir-4775;5606;0
hsa-mir-483;3030;2
hsa-mir-26a-1;3564;25
hsa-mir-6804;0;0
hsa-mir-7112-2;0;0
hsa-mir-3621;430;0
hsa-mir-885;2334;2
hsa-mir-6772;0;0
hsa-mir-6784;0;0
hsa-mir-484;2761;0
hsa-mir-4524a;4878;0
hsa-mir-548o-2;5716;0
hsa-mir-6780a;0;0
hsa-mir-548s;2865;0
hsa-mir-3151;2546;0
hsa-mir-4528;2228;0
hsa-mir-3170;2373;0
hsa-mir-8082;0;0
hsa-mir-569;1447;1
hsa-mir-5591;3166;0
hsa-mir-4666b;2029;0
hsa-mir-548z;4057;0
hsa-mir-3140;3871;0
hsa-mir-3923;954;0
hsa-mir-103b-1;1038;0
hsa-mir-584;3257;1
hsa-mir-4282;5522;0
hsa-mir-6887;0;0
hsa-mir-4748;1991;0
hsa-mir-6818;0;0
hsa-mir-1273h;0;0
hsa-mir-5006;5370;0
hsa-mir-4755;6213;0
hsa-mir-4796;3513;0
hsa-mir-548ar;6029;0
hsa-let-7g;3848;7
hsa-mir-3911;1801;0
hsa-mir-4649;4481;0
hsa-mir-1825;2216;0
hsa-mir-4782;2843;0
hsa-mir-548f-5;4117;0
hsa-mir-3690-2;0;0
hsa-mir-1294;1738;0
hsa-mir-4258;997;0
hsa-mir-4321;155;0
hsa-mir-548l;3024;0
hsa-mir-4650-2;4383;0
hsa-mir-1200;3240;0
hsa-mir-6742;0;0
hsa-mir-6800;0;0
hsa-mir-5009;3201;0
hsa-mir-3177;2015;0
hsa-mir-6874;0;0
hsa-mir-7152;0;0
hsa-mir-548o;3390;0
hsa-mir-4483;1859;0
hsa-mir-4680;3955;0
hsa-mir-501;3402;0
hsa-mir-7848;0;0
hsa-mir-4486;1470;0
hsa-mir-362;3467;0
hsa-mir-1255a;1906;0
hsa-mir-425;2193;0
hsa-mir-4724;2979;0
hsa-mir-7161;0;0
hsa-mir-33b;3234;1
hsa-mir-1228;3336;0
hsa-mir-937;223;0
hsa-mir-95;276;0
hsa-mir-4793;4712;0
hsa-mir-4691;5234;0
hsa-mir-4647;2610;0
hsa-mir-4516;3500;0
hsa-mir-5706;2044;0
hsa-mir-4297;2327;0
hsa-mir-599;1468;0
hsa-mir-4715;3495;0
hsa-mir-942;3704;1
hsa-mir-4529;2609;0
hsa-mir-153-2;1752;5
hsa-mir-548ao;2157;0
hsa-mir-340;4278;1
hsa-mir-621;916;0
hsa-mir-3183;3043;0
hsa-mir-874;2755;0
hsa-mir-574;2182;0
hsa-mir-652;1502;0
hsa-mir-6860;0;0
hsa-mir-5189;4031;0
hsa-mir-7155;0;0
hsa-mir-4526;2330;0
hsa-mir-4434;3501;0
hsa-mir-4753;5760;0
hsa-mir-4651;3718;0
hsa-mir-4696;1743;0
hsa-mir-4694;4112;0
hsa-mir-875;4323;0
hsa-mir-4451;1522;0
hsa-mir-1233-1;1913;0
hsa-mir-658;1219;0
hsa-mir-3612;3612;0
hsa-mir-1250;525;0
hsa-mir-4492;4054;0
hsa-mir-6884;0;0
hsa-mir-4265;1974;0
hsa-mir-6767;0;0
hsa-mir-623;2057;0
hsa-mir-4310;2818;0
hsa-mir-3690-1;0;0
hsa-mir-765;3765;1
hsa-mir-3973;2650;0
hsa-mir-3134;1434;0
hsa-mir-6810;0;0
hsa-mir-5683;3004;0
hsa-mir-6824;0;0
hsa-mir-1911;2568;0
hsa-mir-548d-1;6177;1
hsa-mir-3167;1918;0
hsa-mir-4769;3459;0
hsa-mir-3691;3280;0
hsa-mir-3161;1366;0
hsa-mir-93;5601;8
hsa-mir-5191;897;0
hsa-mir-3666;2430;0
hsa-mir-548h-3;3689;0
hsa-mir-3155b;2762;0
hsa-mir-454;3007;0
hsa-mir-6831;0;0
hsa-mir-4473;1245;0
hsa-mir-3616;4524;0
hsa-mir-6881;0;0
hsa-mir-1203;650;0
hsa-mir-3065;5637;0
hsa-mir-198;2033;2
hsa-mir-6787;0;0
hsa-mir-6516;0;0
hsa-mir-4802;4083;0
hsa-mir-6825;0;0
hsa-mir-4659b;5437;0
hsa-mir-6124;0;0
hsa-mir-2355;4901;0
hsa-mir-1302-6;2227;0
hsa-mir-2467;5055;0
hsa-mir-6731;0;0
hsa-mir-4438;2622;0
hsa-mir-760;3200;0
hsa-mir-1229;1876;0
hsa-mir-302b;4906;4
hsa-mir-4641;1623;0
hsa-mir-921;1275;0
hsa-mir-548aq;6286;0
hsa-mir-3198-2;2062;0
hsa-mir-4780;1569;0
hsa-mir-6811;0;0
hsa-mir-6720;0;0
hsa-mir-3614;3763;0
hsa-mir-6508;0;0
hsa-mir-1322;1513;0
hsa-mir-548ba;0;0
hsa-mir-218-1;3951;17
hsa-mir-4723;5056;0
hsa-mir-6829;0;0
hsa-mir-3651;862;0
hsa-mir-199a-1;3748;13
hsa-mir-1260b;3044;0
hsa-mir-876;3175;1
hsa-mir-6872;0;0
hsa-mir-1258;1211;1
hsa-mir-128-2;3825;11
hsa-mir-3907;1489;0
hsa-mir-6757;0;0
hsa-mir-4707;1978;0
hsa-mir-4756;5878;0
hsa-mir-8063;0;0
hsa-mir-4427;2320;0
hsa-mir-3128;2309;0
hsa-mir-761;4141;0
hsa-mir-4501;1617;0
hsa-mir-361;4453;1
hsa-mir-6876;0;0
hsa-mir-4742;4485;0
hsa-mir-328;2433;3
hsa-mir-3658;3689;0
hsa-mir-4308;2761;0
hsa-mir-330;6184;5
hsa-mir-6889;0;0
hsa-mir-644a;1831;0
hsa-mir-6788;0;0
hsa-mir-199b;3514;11
hsa-mir-6856;0;0
hsa-mir-558;2224;0
hsa-mir-6785;0;0
hsa-mir-4315-1;492;0
hsa-mir-8077;0;0
hsa-mir-106b;4043;16
hsa-mir-3935;1074;0
hsa-mir-15b;5204;6
hsa-mir-6878;0;0
hsa-mir-6861;0;0
hsa-mir-4746;994;0
hsa-mir-548ac;4057;0
hsa-mir-4531;3397;0
hsa-mir-6835;0;0
hsa-mir-101-2;2036;15
hsa-mir-4476;4203;0
hsa-mir-6075;0;0
hsa-mir-7856;0;0
hsa-mir-6777;0;0
hsa-mir-1245b;4220;0
hsa-mir-3184;4400;0
hsa-mir-500b;1632;0
hsa-mir-4329;2244;0
hsa-mir-5002;3280;0
hsa-mir-5584;5716;0
hsa-mir-6738;0;0
hsa-mir-215;1093;1
hsa-mir-3154;3269;0
hsa-mir-1298;468;0
hsa-mir-423;3057;1
hsa-mir-6762;0;0
hsa-mir-6133;0;0
hsa-mir-1302-5;2227;0
hsa-mir-551a;290;0
hsa-mir-5008;4379;0
hsa-mir-8066;0;0
hsa-mir-6807;0;0
hsa-mir-3064;5320;0
hsa-mir-6761;0;0
hsa-mir-5688;3469;0
hsa-mir-4429;3400;0
hsa-mir-326;3660;6
hsa-mir-499a;3601;1
hsa-mir-6729;0;0
hsa-mir-7110;0;0
hsa-mir-4525;1311;0
hsa-mir-767;3847;0
hsa-mir-5193;3359;0
hsa-mir-1279;1610;0
hsa-mir-8076;0;0
hsa-mir-4305;1271;0
hsa-mir-3074;3957;0
hsa-mir-1277;4443;0
hsa-mir-6766;0;0
hsa-mir-4257;2922;0
hsa-mir-620;2158;0
hsa-mir-188;4131;1
hsa-mir-1236;3345;0
hsa-mir-548aj-2;6010;0
hsa-mir-4658;1711;0
hsa-mir-632;2119;1
hsa-mir-3918;3422;0
hsa-mir-631;1988;1
hsa-mir-4259;1744;0
hsa-mir-6882;0;0
hsa-mir-1913;3265;0
hsa-mir-1254-1;2707;0
hsa-mir-579;2981;0
hsa-mir-938;974;0
hsa-mir-4657;2024;0
hsa-mir-8053;0;0
hsa-mir-3164;1867;0
hsa-mir-4284;3132;0
hsa-mir-608;3687;2
hsa-mir-4797;4180;0
hsa-mir-4503;2168;0
hsa-mir-5094;1811;0
hsa-mir-6717;0;0
hsa-mir-4779;3872;0
hsa-mir-589;4371;0
hsa-mir-5572;1857;0
hsa-mir-562;1867;3
hsa-mir-4706;1041;0
hsa-mir-3607;4309;0
hsa-mir-1183;1737;0
hsa-mir-7-1;5579;17
hsa-mir-3129;3051;0
hsa-mir-6773;0;0
hsa-mir-4688;2830;0
hsa-mir-1306;3198;0
hsa-mir-6866;0;0
hsa-mir-4735;4454;0
hsa-mir-1-2;2335;188
hsa-mir-5196;5558;0
hsa-mir-6070;0;0
hsa-mir-1-1;2335;188
hsa-mir-1910;2377;0
hsa-mir-3196;1555;0
hsa-mir-346;1524;27
hsa-mir-4266;1740;0
hsa-mir-3158-1;4734;0
hsa-mir-6084;0;0
hsa-mir-4726;5109;0
hsa-mir-6850;0;0
hsa-mir-556;2859;0
hsa-mir-4747;4649;0
hsa-mir-575;2116;0
hsa-mir-3156-2;3789;0
hsa-mir-6726;0;0
hsa-mir-6792;0;0
hsa-mir-548f-1;4117;0
hsa-mir-6830;0;0
hsa-mir-944;3840;0
hsa-mir-4253;2133;0
hsa-mir-5586;3818;0
hsa-mir-4420;2614;0
hsa-mir-548aa-2;4612;0
hsa-mir-1243;1689;0
hsa-mir-603;2693;1
hsa-mir-3120;5116;0
hsa-mir-7108;0;0
hsa-mir-5003;4605;0
hsa-mir-4319;2820;0
hsa-mir-3611;2299;0
hsa-mir-1972-1;3115;0
hsa-mir-103a-1;2752;5
hsa-mir-1248;2744;0
hsa-mir-4654;1416;0
hsa-mir-4664;1936;0
hsa-mir-6735;0;0
hsa-mir-3714;4317;0
hsa-mir-6715a;0;0
hsa-mir-581;1700;0
hsa-mir-4633;2254;0
hsa-mir-4764;2943;0
hsa-mir-1302-8;2227;0
hsa-mir-643;1454;0
hsa-mir-6776;0;0
hsa-mir-4677;4811;0
hsa-mir-7974;0;0
hsa-mir-199a-2;3746;13
hsa-mir-3646;5235;0
hsa-mir-548u;2661;0
hsa-mir-7844;0;0
hsa-mir-3186;724;0
hsa-mir-941-4;713;0
hsa-mir-3194;4377;0
hsa-mir-320c-2;3401;0
hsa-mir-625;3564;1
hsa-mir-4324;2736;0
hsa-mir-6886;0;0
hsa-mir-5699;2609;0
hsa-mir-7850;0;0
hsa-mir-609;1261;0
hsa-mir-4650-1;4382;0
hsa-mir-3127;4197;0
hsa-mir-3181;472;0
hsa-mir-3174;1752;0
hsa-mir-601;868;0
hsa-mir-1233-2;1913;0
hsa-mir-548j;3688;0
hsa-mir-1915;4907;0
hsa-mir-7109;0;0
hsa-mir-6827;0;0
hsa-mir-1295a;255;0
hsa-mir-593;4047;0
hsa-mir-3606;1619;0
hsa-mir-6783;0;0
hsa-mir-6730;0;0
hsa-mir-4441;3970;0
hsa-mir-7113;0;0
hsa-mir-586;2538;0
hsa-mir-4773-2;3430;0
hsa-mir-3153;3519;0
hsa-mir-4450;1153;0
hsa-mir-7973-1;0;0
hsa-mir-943;1790;0
hsa-mir-657;1773;1
hsa-mir-5190;2294;0
hsa-mir-1914;3678;0
hsa-mir-548f-2;4117;0
hsa-mir-4721;2298;0
hsa-mir-5703;3429;0
hsa-mir-548p;4139;0
hsa-mir-1285-1;5071;1
hsa-mir-4683;1304;0
hsa-mir-548as;5571;0
hsa-mir-1245a;1648;0
hsa-mir-4673;3615;0
hsa-mir-3146;1094;0
hsa-mir-3914-1;1774;0
hsa-mir-4271;3566;0
hsa-mir-4729;4377;0
hsa-mir-6081;0;0
hsa-mir-6763;0;0
hsa-mir-6894;0;0
hsa-mir-7705;0;0
hsa-mir-4274;1668;0
hsa-mir-4252;3457;0
hsa-mir-6870;0;0
hsa-mir-4661;2328;0
hsa-mir-3191;3670;0
hsa-mir-4254;3374;0
hsa-mir-4656;2545;0
hsa-mir-1293;1859;0
hsa-mir-3163;6113;0
hsa-mir-2909;1006;0
hsa-mir-6083;0;0
hsa-mir-136;2581;0
hsa-mir-611;495;0
hsa-mir-5693;3413;0
hsa-mir-1271;4197;0
hsa-mir-6502;0;0
hsa-mir-149;6137;2
hsa-mir-1912;2353;0
hsa-mir-4285;257;0
hsa-mir-6764;0;0
hsa-mir-6875;0;0
hsa-mir-4772;3450;0
hsa-mir-3121;5086;0
hsa-mir-6805;0;0
hsa-mir-4714;3032;0
hsa-mir-642b;3333;0
hsa-mir-638;272;0
hsa-mir-6837;0;0
hsa-mir-2053;2175;0
hsa-mir-3650;1839;0
hsa-mir-577;3219;0
hsa-mir-1180;380;0
hsa-mir-548w;3687;0
hsa-mir-8055;0;0
hsa-mir-1231;2090;0
hsa-mir-1295b;2910;0
hsa-mir-636;1918;0
hsa-mir-3919;4014;0
hsa-mir-671;2764;0
hsa-mir-6727;0;0
hsa-mir-6793;0;0
hsa-mir-635;2032;0
hsa-mir-335;5665;9
hsa-mir-6885;0;0
hsa-mir-4419a;3611;0
hsa-mir-4440;381;0
hsa-mir-3657;1569;0
hsa-mir-4436b-1;5717;0
hsa-mir-920;2255;0
hsa-mir-3656;911;0
hsa-mir-1273g;4492;0
hsa-mir-610;1208;0
hsa-mir-578;2583;0
hsa-mir-548f-4;4117;0
hsa-mir-3926-2;2092;0
hsa-mir-433;1927;2
hsa-mir-3684;858;0
hsa-mir-103b-2;1038;0
hsa-mir-3653;2335;0
hsa-mir-4713;3973;0
hsa-mir-553;473;0
hsa-mir-6791;0;0
hsa-mir-6504;0;0
hsa-mir-548ax;1888;0
hsa-mir-4765;1224;0
hsa-mir-147b;495;0
hsa-mir-6759;0;0
hsa-mir-4762;4676;0
hsa-mir-544b;3496;0
hsa-mir-1908;1821;0
hsa-mir-4653;3884;0
hsa-mir-4511;2792;0
hsa-mir-4690;4952;0
hsa-mir-613;2208;0
hsa-mir-4751;1459;0
hsa-mir-153-1;1753;5
hsa-mir-6505;0;0
hsa-mir-4699;4637;0
hsa-mir-6073;0;0
hsa-mir-6126;0;0
hsa-mir-4741;2217;0
hsa-mir-4803;3197;0
hsa-mir-6868;0;0
hsa-mir-4326;1678;0
hsa-mir-4320;1703;0
hsa-mir-4761;3591;0
hsa-mir-6744;0;0
hsa-mir-648;1502;0
hsa-mir-6507;0;0
hsa-mir-6741;0;0
hsa-mir-4261;3445;0
hsa-mir-1184-3;3512;0
hsa-mir-378b;2063;0
hsa-mir-6745;0;0
hsa-mir-3131;495;0
hsa-mir-185;5970;9
hsa-mir-1292;605;0
hsa-mir-6812;0;0
hsa-mir-3137;1485;0
hsa-mir-4644;3376;0
hsa-mir-367;3620;0
hsa-mir-6758;0;0
hsa-mir-548av;4098;0
hsa-mir-6165;0;0
hsa-mir-5697;1834;0
hsa-mir-190a;1193;1
hsa-mir-548c;7042;0
hsa-mir-7156;0;0
hsa-mir-5739;0;0
hsa-mir-3160-1;4661;0
hsa-mir-567;1428;0
hsa-mir-4306;3386;0
hsa-mir-8058;0;0
hsa-mir-342;3718;2
hsa-mir-548ah;6318;0
hsa-mir-6719;0;0
hsa-mir-6736;0;0
hsa-mir-4439;1983;0
hsa-mir-6798;0;0
hsa-mir-4251;3354;0
hsa-mir-6846;0;0
hsa-mir-320e;2756;0
hsa-mir-4317;1350;0
hsa-mir-1273d;1546;0
hsa-mir-4659a;5436;0
hsa-mir-618;1733;0
hsa-mir-6753;0;0
hsa-mir-6799;0;0
hsa-mir-4783;903;0
hsa-mir-378j;0;0
hsa-mir-6755;0;0
hsa-mir-489;1840;1
hsa-mir-7973-2;0;0
hsa-mir-8080;0;0
hsa-mir-4758;3660;0
hsa-mir-936;1770;0
hsa-mir-559;3690;4
hsa-mir-194-1;1870;10
hsa-mir-204;5746;44
hsa-mir-4665;3401;0
hsa-mir-4685;5350;0
hsa-mir-6863;0;0
hsa-mir-548ak;3687;0
hsa-mir-4668;6207;0
hsa-mir-6797;0;0
hsa-mir-6815;0;0
hsa-mir-27b;3798;8
hsa-mir-554;831;0
hsa-mir-6857;0;0
hsa-mir-4505;4564;0
hsa-mir-6869;0;0
hsa-mir-4632;896;0
hsa-mir-4648;1356;0
hsa-mir-6737;0;0
hsa-mir-4485;326;0
hsa-mir-4681;585;0
hsa-mir-3133;3311;0
hsa-mir-5088;2233;0
hsa-mir-634;2383;0
hsa-mir-6747;0;0
hsa-mir-1234;943;0
hsa-mir-3909;1952;0
hsa-mir-5192;1769;0
hsa-mir-3665;3097;0
hsa-mir-6838;0;0
hsa-mir-4672;2795;0
hsa-mir-6722;0;0
hsa-mir-3944;2205;0
hsa-mir-8085;0;0
hsa-mir-4463;2199;0
hsa-mir-941-3;713;0
hsa-mir-1282;340;0
hsa-mir-502;2961;0
hsa-mir-4517;2673;0
hsa-mir-302c;5730;2
hsa-mir-4540;1074;0
hsa-mir-4444-1;285;0
hsa-mir-6789;0;0
hsa-mir-5001;6158;0
hsa-mir-3943;2086;0
hsa-mir-3139;2569;0
hsa-mir-6802;0;0
hsa-mir-1256;1460;2
hsa-mir-548t;6550;0
hsa-mir-1909;4073;0
hsa-mir-7641-2;0;0
hsa-mir-548am;6455;0
hsa-mir-6888;0;0
hsa-mir-214;5219;8
hsa-mir-6786;0;0
hsa-mir-548q;1929;0
hsa-mir-1284;1657;0
hsa-mir-1178;1912;0
hsa-mir-3661;1987;0
hsa-mir-4711;3439;0
hsa-mir-6814;0;0
hsa-mir-6514;0;0
hsa-mir-4489;1022;0
hsa-mir-1539;636;0
hsa-mir-571;1641;0
hsa-mir-4296;1973;0
hsa-mir-4513;1185;0
hsa-mir-4479;422;0
hsa-mir-4636;334;0
hsa-mir-2115;4682;0
hsa-mir-4481;2401;0
hsa-mir-3609;3510;0
hsa-mir-3662;5311;0
hsa-mir-6715b;0;0
TOTAL;20453;1717
