MirnaId;Accession;Intragenic;A549;BCELL;DendriticCell;Granulocite;lung;Monocyte;NKCELL
hsa-let-7a-1;MI0000060;0;0;1;0;0;0;0;0
hsa-let-7a-2;MI0000061;0;0;1;0;0;0;0;0
hsa-let-7a-3;MI0000062;0;0;1;0;0;0;0;0
hsa-let-7b;MI0000063;0;0;1;0;0;0;0;0
hsa-let-7c;MI0000064;0;0;1;0;0;0;0;0
hsa-let-7d;MI0000065;0;0;1;1;0;0;0;0
hsa-let-7e;MI0000066;0;0;1;1;0;0;0;0
hsa-let-7f-1;MI0000067;0;0;1;0;0;0;0;0
hsa-let-7f-2;MI0000068;1;0;1;0;0;0;0;0
hsa-mir-15a;MI0000069;0;0;0;0;0;0;1;0
hsa-mir-16-1;MI0000070;0;0;1;1;0;0;1;0
hsa-mir-17;MI0000071;0;1;1;1;0;0;1;0
hsa-mir-18a;MI0000072;0;1;1;1;0;0;0;0
hsa-mir-19a;MI0000073;0;1;0;0;0;0;1;0
hsa-mir-20a;MI0000076;0;0;1;0;0;0;0;0
hsa-mir-21;MI0000077;0;1;1;1;0;1;1;0
hsa-mir-22;MI0000078;0;0;0;0;0;0;1;0
hsa-mir-23a;MI0000079;0;0;1;0;0;0;0;0
hsa-mir-24-1;MI0000080;0;1;1;0;0;1;0;0
hsa-mir-24-2;MI0000081;0;1;1;0;0;1;0;0
hsa-mir-25;MI0000082;1;0;1;0;0;0;1;0
hsa-mir-26a-1;MI0000083;0;0;0;0;0;1;1;0
hsa-mir-26b;MI0000084;0;0;1;0;0;0;1;0
hsa-mir-27a;MI0000085;0;0;0;0;0;0;1;0
hsa-mir-28;MI0000086;0;0;1;0;0;0;1;0
hsa-mir-29a;MI0000087;0;0;1;0;0;0;1;0
hsa-mir-30a;MI0000088;0;0;1;0;0;0;0;0
hsa-mir-31;MI0000089;0;0;1;0;0;0;0;0
hsa-mir-33a;MI0000091;1;0;0;0;0;1;0;0
hsa-mir-92a-1;MI0000093;0;0;1;0;0;0;0;0
hsa-mir-92a-2;MI0000094;0;0;1;0;0;0;0;0
hsa-mir-93;MI0000095;1;0;0;0;0;0;0;0
hsa-mir-95;MI0000097;0;1;1;0;0;0;0;0
hsa-mir-96;MI0000098;0;0;1;1;0;0;0;0
hsa-mir-98;MI0000100;1;0;1;1;0;0;0;0
hsa-mir-99a;MI0000101;0;0;1;0;0;0;1;0
hsa-mir-101-1;MI0000103;0;0;1;0;0;0;1;0
hsa-mir-29b-1;MI0000105;0;0;1;0;0;0;0;0
hsa-mir-29b-2;MI0000107;0;0;1;0;0;0;0;0
hsa-mir-103a-2;MI0000108;0;0;0;0;0;0;1;0
hsa-mir-103a-1;MI0000109;0;0;0;0;0;0;1;0
hsa-mir-105-1;MI0000111;0;0;1;0;0;1;0;0
hsa-mir-105-2;MI0000112;0;0;1;0;0;1;0;0
hsa-mir-106a;MI0000113;0;1;1;0;0;0;0;0
hsa-mir-107;MI0000114;0;1;1;0;0;0;0;0
hsa-mir-16-2;MI0000115;0;0;1;1;0;0;1;0
hsa-mir-192;MI0000234;0;1;1;0;0;0;0;0
hsa-mir-196a-1;MI0000238;0;0;0;0;0;1;0;0
hsa-mir-197;MI0000239;0;1;1;1;0;0;1;0
hsa-mir-199a-1;MI0000242;1;0;0;0;0;0;0;0
hsa-mir-129-1;MI0000252;0;0;0;0;0;0;1;0
hsa-mir-148a;MI0000253;0;1;1;0;0;0;0;0
hsa-mir-30c-2;MI0000254;0;1;1;0;0;0;1;0
hsa-mir-30d;MI0000255;0;1;0;0;0;0;0;0
hsa-mir-147a;MI0000262;0;0;0;0;0;1;0;0
hsa-mir-7-1;MI0000263;0;0;1;0;0;0;0;0
hsa-mir-7-2;MI0000264;0;0;1;0;0;0;0;0
hsa-mir-7-3;MI0000265;0;0;1;0;0;0;0;0
hsa-mir-10a;MI0000266;0;0;1;0;0;0;0;0
hsa-mir-10b;MI0000267;0;1;0;0;0;0;0;0
hsa-mir-34a;MI0000268;0;1;1;0;0;0;0;0
hsa-mir-181a-2;MI0000269;0;0;1;0;0;0;0;0
hsa-mir-181b-1;MI0000270;0;0;1;0;0;0;0;0
hsa-mir-181c;MI0000271;0;1;1;1;0;0;0;0
hsa-mir-182;MI0000272;0;1;1;0;0;1;0;0
hsa-mir-183;MI0000273;0;0;0;0;0;1;0;0
hsa-mir-196a-2;MI0000279;0;0;0;0;0;1;0;0
hsa-mir-199b;MI0000282;1;0;1;1;0;0;1;0
hsa-mir-203a;MI0000283;0;1;0;0;0;0;0;0
hsa-mir-205;MI0000285;0;0;1;0;0;0;0;0
hsa-mir-210;MI0000286;0;1;1;0;0;0;0;0
hsa-mir-211;MI0000287;0;0;0;0;0;1;0;0
hsa-mir-181a-1;MI0000289;0;0;1;0;0;0;0;0
hsa-mir-214;MI0000290;0;1;0;0;0;0;0;0
hsa-mir-215;MI0000291;0;1;0;0;0;1;0;0
hsa-mir-218-1;MI0000294;0;1;1;0;0;0;0;0
hsa-mir-218-2;MI0000295;0;1;1;0;0;0;0;0
hsa-mir-221;MI0000298;0;0;1;0;0;0;0;0
hsa-mir-222;MI0000299;0;0;1;1;0;0;1;0
hsa-mir-223;MI0000300;0;1;1;0;0;1;0;0
hsa-mir-200b;MI0000342;0;1;1;0;0;0;0;0
hsa-let-7g;MI0000433;0;0;1;0;0;0;0;0
hsa-let-7i;MI0000434;0;0;1;1;0;0;0;0
hsa-mir-23b;MI0000439;0;0;1;0;0;0;0;0
hsa-mir-27b;MI0000440;0;1;1;0;0;0;1;0
hsa-mir-30b;MI0000441;0;0;1;0;0;1;1;0
hsa-mir-124-1;MI0000443;0;0;1;0;0;0;1;0
hsa-mir-124-2;MI0000444;0;0;1;0;0;0;1;0
hsa-mir-124-3;MI0000445;0;0;1;0;0;0;1;0
hsa-mir-125b-1;MI0000446;0;0;1;0;0;0;0;0
hsa-mir-130a;MI0000448;0;0;1;0;0;0;1;0
hsa-mir-132;MI0000449;0;1;1;0;0;0;0;0
hsa-mir-133a-1;MI0000450;0;0;1;0;0;0;0;0
hsa-mir-133a-2;MI0000451;0;0;1;0;0;0;0;0
hsa-mir-135a-1;MI0000452;0;0;1;1;0;0;0;0
hsa-mir-135a-2;MI0000453;0;0;1;1;0;0;0;0
hsa-mir-138-2;MI0000455;0;1;1;0;0;0;0;0
hsa-mir-140;MI0000456;1;0;1;1;0;0;1;0
hsa-mir-141;MI0000457;0;1;1;1;0;0;0;0
hsa-mir-142;MI0000458;0;1;1;1;1;0;1;1
hsa-mir-143;MI0000459;0;1;1;1;0;0;1;0
hsa-mir-144;MI0000460;0;0;1;0;0;0;0;0
hsa-mir-145;MI0000461;0;1;1;0;0;0;0;0
hsa-mir-152;MI0000462;0;1;1;0;0;0;0;0
hsa-mir-9-1;MI0000466;0;0;1;0;0;1;0;0
hsa-mir-9-2;MI0000467;0;0;1;0;0;1;0;0
hsa-mir-9-3;MI0000468;0;0;1;0;0;1;0;0
hsa-mir-125a;MI0000469;0;1;0;0;0;0;0;0
hsa-mir-125b-2;MI0000470;0;0;1;0;0;0;0;0
hsa-mir-126;MI0000471;0;0;1;1;0;1;1;0
hsa-mir-129-2;MI0000473;0;0;0;0;0;0;1;0
hsa-mir-134;MI0000474;0;1;1;0;0;1;0;0
hsa-mir-138-1;MI0000476;0;1;1;0;0;0;0;0
hsa-mir-146a;MI0000477;0;1;0;0;0;0;1;0
hsa-mir-149;MI0000478;0;1;1;0;0;0;0;0
hsa-mir-150;MI0000479;0;1;1;0;0;0;0;0
hsa-mir-184;MI0000481;0;0;0;0;0;1;0;0
hsa-mir-185;MI0000482;0;1;1;0;0;0;1;0
hsa-mir-186;MI0000483;0;0;1;0;0;0;0;0
hsa-mir-188;MI0000484;0;1;0;1;0;0;0;0
hsa-mir-190a;MI0000486;0;1;0;0;0;1;0;0
hsa-mir-193a;MI0000487;0;1;1;1;0;0;0;0
hsa-mir-194-1;MI0000488;0;0;1;1;0;0;0;0
hsa-mir-195;MI0000489;0;1;1;0;0;0;0;0
hsa-mir-206;MI0000490;0;1;0;0;0;1;0;0
hsa-mir-320a;MI0000542;0;0;0;1;0;0;1;0
hsa-mir-200c;MI0000650;0;1;1;0;0;0;1;0
hsa-mir-155;MI0000681;0;1;0;0;0;0;0;0
hsa-mir-181b-2;MI0000683;0;0;1;0;0;0;0;0
hsa-mir-194-2;MI0000732;0;0;1;1;0;0;0;0
hsa-mir-106b;MI0000734;1;0;1;0;0;0;0;0
hsa-mir-29c;MI0000735;0;0;1;1;0;0;1;0
hsa-mir-30c-1;MI0000736;0;1;1;0;0;0;1;0
hsa-mir-200a;MI0000737;0;1;1;0;0;0;0;0
hsa-mir-101-2;MI0000739;0;0;1;0;0;0;1;0
hsa-mir-34b;MI0000742;0;1;0;0;0;0;0;0
hsa-mir-99b;MI0000746;0;0;1;0;0;0;0;0
hsa-mir-296;MI0000747;0;1;1;0;0;0;0;0
hsa-mir-130b;MI0000748;0;1;1;0;0;0;0;0
hsa-mir-30e;MI0000749;0;0;1;0;0;0;0;0
hsa-mir-26a-2;MI0000750;0;0;0;0;0;1;1;0
hsa-mir-361;MI0000760;0;1;1;0;0;0;0;0
hsa-mir-362;MI0000762;0;1;1;1;0;0;0;0
hsa-mir-363;MI0000764;0;0;1;0;0;0;0;0
hsa-mir-302b;MI0000772;0;1;1;0;0;1;0;0
hsa-mir-302c;MI0000773;0;1;1;0;0;0;0;0
hsa-mir-302d;MI0000774;0;0;0;0;0;1;0;0
hsa-mir-370;MI0000778;0;1;1;0;0;1;0;0
hsa-mir-372;MI0000780;0;1;1;0;0;1;0;0
hsa-mir-373;MI0000781;0;1;0;0;0;0;0;0
hsa-mir-375;MI0000783;0;1;0;0;0;0;0;0
hsa-mir-376a-1;MI0000784;0;1;1;0;0;1;0;0
hsa-mir-378a;MI0000786;0;0;1;0;0;0;1;0
hsa-mir-379;MI0000787;0;1;0;0;0;0;0;0
hsa-mir-381;MI0000789;0;0;0;0;0;1;0;0
hsa-mir-382;MI0000790;0;1;0;0;0;1;0;0
hsa-mir-340;MI0000802;0;1;1;0;0;0;1;0
hsa-mir-330;MI0000803;0;1;0;0;0;1;0;0
hsa-mir-328;MI0000804;0;1;1;0;0;0;0;0
hsa-mir-342;MI0000805;0;1;1;0;0;0;0;0
hsa-mir-323a;MI0000807;0;0;0;0;0;1;0;0
hsa-mir-326;MI0000808;1;0;1;1;0;1;0;0
hsa-mir-151a;MI0000809;1;0;0;0;0;0;0;0
hsa-mir-135b;MI0000810;0;1;1;0;0;0;0;0
hsa-mir-148b;MI0000811;0;1;1;1;0;0;0;0
hsa-mir-331;MI0000812;0;1;0;0;0;0;0;0
hsa-mir-324;MI0000813;0;1;1;1;0;0;0;0
hsa-mir-339;MI0000815;0;1;1;1;0;0;0;0
hsa-mir-335;MI0000816;0;0;1;0;0;0;0;0
hsa-mir-325;MI0000824;0;0;1;0;0;1;0;0
hsa-mir-345;MI0000825;0;1;1;1;0;0;1;0
hsa-mir-346;MI0000826;0;1;1;0;0;1;0;0
hsa-mir-196b;MI0001150;0;1;0;0;0;1;0;0
hsa-mir-423;MI0001445;0;1;1;1;0;0;0;0
hsa-mir-424;MI0001446;0;0;1;0;0;0;0;0
hsa-mir-425;MI0001448;0;0;1;0;0;0;1;0
hsa-mir-20b;MI0001519;0;0;0;0;0;0;1;0
hsa-mir-329-1;MI0001725;0;0;0;0;0;1;0;0
hsa-mir-329-2;MI0001726;0;0;0;0;0;1;0;0
hsa-mir-376b;MI0002466;0;1;0;0;0;0;0;0
hsa-mir-484;MI0002468;0;1;0;1;0;0;0;0
hsa-mir-486-1;MI0002470;0;0;1;0;0;0;0;0
hsa-mir-489;MI0003124;1;0;0;0;0;0;0;0
hsa-mir-146b;MI0003129;0;1;1;0;0;0;0;0
hsa-mir-193b;MI0003137;0;1;1;0;0;0;0;0
hsa-mir-500a;MI0003184;0;0;1;1;0;0;1;0
hsa-mir-502;MI0003186;0;0;1;0;0;0;1;0
hsa-mir-503;MI0003188;0;1;0;0;0;0;0;0
hsa-mir-505;MI0003190;0;0;1;0;0;0;0;0
hsa-mir-532;MI0003205;0;0;1;0;0;0;1;0
hsa-mir-545;MI0003516;0;1;0;1;0;0;0;0
hsa-mir-376a-2;MI0003529;0;1;1;0;0;1;0;0
hsa-mir-92b;MI0003560;0;0;1;0;0;0;0;0
hsa-mir-555;MI0003561;1;0;0;0;0;0;0;0
hsa-mir-558;MI0003564;1;0;0;0;0;0;0;0
hsa-mir-551b;MI0003575;0;1;0;0;0;0;0;0
hsa-mir-570;MI0003577;0;1;0;1;0;0;0;0
hsa-mir-574;MI0003581;0;1;0;0;0;0;0;0
hsa-mir-576;MI0003583;0;1;0;0;0;0;0;0
hsa-mir-582;MI0003589;0;1;1;0;0;0;1;0
hsa-mir-589;MI0003599;0;0;1;1;0;0;0;0
hsa-mir-590;MI0003602;0;1;1;0;0;0;0;0
hsa-mir-616;MI0003629;1;0;0;0;0;0;0;0
hsa-mir-548c;MI0003630;0;1;0;0;0;0;0;0
hsa-mir-619;MI0003633;1;0;0;0;0;0;0;0
hsa-mir-625;MI0003639;0;1;1;0;0;0;1;0
hsa-mir-629;MI0003643;0;1;1;0;0;0;0;0
hsa-mir-33b;MI0003646;1;1;1;0;0;1;1;0
hsa-mir-634;MI0003649;1;0;0;0;0;0;0;0
hsa-mir-638;MI0003653;1;0;0;0;0;0;0;0
hsa-mir-644a;MI0003659;1;0;0;0;0;0;0;0
hsa-mir-652;MI0003667;0;1;0;0;0;0;0;0
hsa-mir-548d-1;MI0003668;0;0;0;1;0;0;0;0
hsa-mir-548d-2;MI0003671;0;0;0;1;0;0;0;0
hsa-mir-653;MI0003674;1;0;0;0;0;0;0;0
hsa-mir-660;MI0003684;0;0;1;0;0;0;0;0
hsa-mir-421;MI0003685;0;1;1;1;0;0;1;0
hsa-mir-671;MI0003760;0;0;1;0;0;0;0;0
hsa-mir-320b-1;MI0003776;0;0;0;1;0;0;1;0
hsa-mir-320c-1;MI0003778;0;0;0;1;0;0;1;0
hsa-mir-454;MI0003820;0;1;1;1;0;0;1;0
hsa-mir-320b-2;MI0003839;0;0;0;1;0;0;1;0
hsa-mir-378d-2;MI0003840;0;0;1;0;0;0;1;0
hsa-mir-874;MI0005532;0;0;1;0;0;0;0;0
hsa-mir-708;MI0005543;0;0;1;0;0;0;0;0
hsa-mir-147b;MI0005544;0;0;0;1;0;1;0;0
hsa-mir-190b;MI0005545;0;1;0;0;0;1;0;0
hsa-mir-744;MI0005559;1;0;0;0;0;0;0;0
hsa-mir-877;MI0005561;0;1;0;0;0;0;0;0
hsa-mir-374b;MI0005566;0;1;1;0;0;0;0;0
hsa-mir-301b;MI0005568;0;1;1;1;0;0;0;0
hsa-mir-933;MI0005755;1;0;0;0;0;0;0;0
hsa-mir-944;MI0005769;1;0;0;0;0;0;0;0
hsa-mir-1181;MI0006274;1;0;0;0;0;0;0;0
hsa-mir-1183;MI0006276;1;0;0;0;0;0;0;0
hsa-mir-1184-1;MI0006277;1;0;0;0;0;0;0;0
hsa-mir-1237;MI0006327;1;0;0;0;0;0;0;0
hsa-mir-1200;MI0006332;1;0;0;0;0;0;0;0
hsa-mir-548e;MI0006344;1;0;0;0;0;0;0;0
hsa-mir-1255a;MI0006389;1;0;0;0;0;0;0;0
hsa-mir-103b-1;MI0007261;0;0;0;0;0;0;1;0
hsa-mir-103b-2;MI0007262;0;0;0;0;0;0;1;0
hsa-mir-320d-1;MI0008190;0;0;0;1;0;0;1;0
hsa-mir-320c-2;MI0008191;0;0;0;1;0;0;1;0
hsa-mir-320d-2;MI0008192;0;0;0;1;0;0;1;0
hsa-mir-3116-1;MI0014128;1;0;0;0;0;0;0;0
hsa-mir-3116-2;MI0014129;1;0;0;0;0;0;0;0
hsa-mir-3131;MI0014151;1;0;0;0;0;0;0;0
hsa-mir-3133;MI0014153;1;0;0;0;0;0;0;0
hsa-mir-378b;MI0014154;0;0;1;0;0;0;1;0
hsa-mir-3139;MI0014162;1;0;0;0;0;0;0;0
hsa-mir-3154;MI0014182;1;0;0;0;0;0;0;0
hsa-mir-3155a;MI0014183;1;0;0;0;0;0;0;0
hsa-mir-3161;MI0014191;1;0;0;0;0;0;0;0
hsa-mir-323b;MI0014206;0;0;0;0;0;1;0;0
hsa-mir-3177;MI0014211;1;0;0;0;0;0;0;0
hsa-mir-3181;MI0014223;1;0;0;0;0;0;0;0
hsa-mir-320e;MI0014234;0;0;0;1;0;0;1;0
hsa-mir-3190;MI0014235;1;0;0;0;0;0;0;0
hsa-mir-3191;MI0014236;1;0;0;0;0;0;0;0
hsa-mir-3194;MI0014239;1;0;0;0;0;0;0;0
hsa-mir-3198-1;MI0014246;1;0;0;0;0;0;0;0
hsa-mir-378c;MI0015825;0;0;1;0;0;0;1;0
hsa-mir-4316;MI0015845;1;0;0;0;0;0;0;0
hsa-mir-4319;MI0015848;1;0;0;0;0;0;0;0
hsa-mir-4321;MI0015852;1;0;0;0;0;0;0;0
hsa-mir-4285;MI0015891;1;0;0;0;0;0;0;0
hsa-mir-500b;MI0015903;0;0;1;1;0;0;1;0
hsa-mir-3610;MI0016000;1;0;0;0;0;0;0;0
hsa-mir-3611;MI0016001;1;0;0;0;0;0;0;0
hsa-mir-3614;MI0016004;1;0;0;0;0;0;0;0
hsa-mir-3646;MI0016046;1;0;0;0;0;0;0;0
hsa-mir-3650;MI0016050;1;0;0;0;0;0;0;0
hsa-mir-3661;MI0016062;1;0;0;0;0;0;0;0
hsa-mir-3666;MI0016067;1;0;0;0;0;0;0;0
hsa-mir-3690-1;MI0016091;1;0;0;0;0;0;0;0
hsa-mir-3917;MI0016423;1;0;0;0;0;0;0;0
hsa-mir-676;MI0016436;1;0;0;0;0;0;0;0
hsa-mir-378d-1;MI0016749;0;0;1;0;0;0;1;0
hsa-mir-378e;MI0016750;1;0;1;0;0;0;1;0
hsa-mir-378f;MI0016756;0;0;1;0;0;0;1;0
hsa-mir-378g;MI0016761;0;0;1;0;0;0;1;0
hsa-mir-378h;MI0016808;0;0;1;0;0;0;1;0
hsa-mir-4479;MI0016838;1;0;0;0;0;0;0;0
hsa-mir-3155b;MI0016839;1;0;0;0;0;0;0;0
hsa-mir-4518;MI0016884;1;0;0;0;0;0;0;0
hsa-mir-378i;MI0016902;0;0;1;0;0;0;1;0
hsa-mir-4632;MI0017259;1;0;0;0;0;0;0;0
hsa-mir-4648;MI0017275;1;0;0;0;0;0;0;0
hsa-mir-4655;MI0017283;1;0;0;0;0;0;0;0
hsa-mir-4669;MI0017300;1;0;0;0;0;0;0;0
hsa-mir-4673;MI0017304;1;0;0;0;0;0;0;0
hsa-mir-203b;MI0017343;0;1;0;0;0;0;0;0
hsa-mir-4714;MI0017348;1;0;0;0;0;0;0;0
hsa-mir-4724;MI0017361;1;0;0;0;0;0;0;0
hsa-mir-4747;MI0017386;1;0;0;0;0;0;0;0
hsa-mir-4748;MI0017387;1;0;0;0;0;0;0;0
hsa-mir-4771-2;MI0017413;1;0;0;0;0;0;0;0
hsa-mir-4772;MI0017414;1;0;0;0;0;0;0;0
hsa-mir-4783;MI0017428;1;0;0;0;0;0;0;0
hsa-mir-4797;MI0017444;1;0;0;0;0;0;0;0
hsa-mir-4799;MI0017446;1;0;0;0;0;0;0;0
hsa-mir-548ao;MI0017871;1;0;0;0;0;0;0;0
hsa-mir-5088;MI0017977;1;0;0;0;0;0;0;0
hsa-mir-5196;MI0018175;1;0;0;0;0;0;0;0
hsa-mir-548ar;MI0019131;1;0;0;0;0;0;0;0
hsa-mir-5683;MI0019284;1;0;0;0;0;0;0;0
hsa-mir-6090;MI0020367;1;0;0;0;0;0;0;0
hsa-mir-378j;MI0021273;0;0;1;0;0;0;1;0
hsa-mir-6133;MI0021278;1;0;0;0;0;0;0;0
hsa-mir-6165;MI0021472;1;0;0;0;0;0;0;0
hsa-mir-6502;MI0022214;1;0;0;0;0;0;0;0
hsa-mir-6515;MI0022227;1;0;0;0;0;0;0;0
hsa-mir-6726;MI0022571;1;0;0;0;0;0;0;0
hsa-mir-6728;MI0022573;1;0;0;0;0;0;0;0
hsa-mir-6736;MI0022581;1;0;0;0;0;0;0;0
hsa-mir-6751;MI0022596;1;0;0;0;0;0;0;0
hsa-mir-6753;MI0022598;1;0;0;0;0;0;0;0
hsa-mir-6759;MI0022604;1;0;0;0;0;0;0;0
hsa-mir-6764;MI0022609;1;0;0;0;0;0;0;0
hsa-mir-6769a;MI0022614;1;0;0;0;0;0;0;0
hsa-mir-6774;MI0022619;1;0;0;0;0;0;0;0
hsa-mir-6777;MI0022622;1;0;0;0;0;0;0;0
hsa-mir-6781;MI0022626;1;0;0;0;0;0;0;0
hsa-mir-6786;MI0022631;1;0;0;0;0;0;0;0
hsa-mir-6793;MI0022638;1;0;0;0;0;0;0;0
hsa-mir-6808;MI0022653;1;0;0;0;0;0;0;0
hsa-mir-6819;MI0022664;1;0;0;0;0;0;0;0
hsa-mir-6842;MI0022688;1;0;0;0;0;0;0;0
hsa-mir-6843;MI0022689;1;0;0;0;0;0;0;0
hsa-mir-6852;MI0022698;1;0;0;0;0;0;0;0
hsa-mir-6853;MI0022699;1;0;0;0;0;0;0;0
hsa-mir-6769b;MI0022706;1;0;0;0;0;0;0;0
hsa-mir-6870;MI0022717;1;0;0;0;0;0;0;0
hsa-mir-6871;MI0022718;1;0;0;0;0;0;0;0
hsa-mir-6875;MI0022722;1;0;0;0;0;0;0;0
hsa-mir-6880;MI0022727;1;0;0;0;0;0;0;0
hsa-mir-6886;MI0022733;1;0;0;0;0;0;0;0
hsa-mir-6891;MI0022738;1;0;0;0;0;0;0;0
hsa-mir-6892;MI0022739;1;0;0;0;0;0;0;0
hsa-mir-7107;MI0022958;1;0;0;0;0;0;0;0
hsa-mir-3690-2;MI0023561;1;0;0;0;0;0;0;0
hsa-mir-486-2;MI0023622;0;0;1;0;0;0;0;0
hsa-mir-7703;MI0025239;1;0;0;0;0;0;0;0
hsa-mir-1273h;MI0025512;1;0;0;0;0;0;0;0
hsa-mir-7846;MI0025516;1;0;0;0;0;0;0;0
hsa-mir-7853;MI0025523;1;0;0;0;0;0;0;0
hsa-mir-7974;MI0025750;1;0;0;0;0;0;0;0
hsa-mir-8066;MI0025902;1;0;0;0;0;0;0;0
